timestamp,GBP_USD,GBP_EUR,GBP_JPY,GBP_KRW,GBP_CHF,target
27-Feb-26,1.3443,1.1386,209.8194,1936.1329,1.0337,9.2234
26-Feb-26,1.3515,1.1454,210.887,1933.7425,1.0456,9.246
25-Feb-26,1.3534,1.1468,211.6379,1929.8266,1.0467,9.2787
24-Feb-26,1.3515,1.148,210.7181,1948.0476,1.047,9.2968
23-Feb-26,1.3494,1.1441,208.3888,1947.6949,1.0447,9.2933
20-Feb-26,1.3501,1.1453,209.0697,1952.8791,1.0456,9.3133
19-Feb-26,1.3454,1.1437,208.537,1948.2334,1.0434,9.2807
18-Feb-26,1.3545,1.1457,208.9867,1959.0924,1.0448,9.3282
17-Feb-26,1.3503,1.1432,207.6685,1949.8353,1.0449,9.3048
16-Feb-26,1.3633,1.15,209.2112,1966.4745,1.0489,9.3876
13-Feb-26,1.3612,1.1484,208.4482,1965.4408,1.0486,9.3997
12-Feb-26,1.3654,1.1487,208.4215,1960.0317,1.0483,9.4101
11-Feb-26,1.3633,1.1496,209.4446,1976.8302,1.0532,9.4255
10-Feb-26,1.3674,1.1477,210.8736,1991.0301,1.0462,9.448
09-Feb-26,1.3678,1.1482,213.1707,1989.9532,1.0483,9.4582
06-Feb-26,1.3615,1.1519,213.5298,1993.0267,1.0554,9.4361
05-Feb-26,1.3528,1.1473,212.1664,1982.2173,1.0515,9.3832
04-Feb-26,1.3664,1.1583,214.0534,1992.1702,1.062,9.4839
03-Feb-26,1.3703,1.16,213.384,1983.842,1.0622,9.5015
02-Feb-26,1.3628,1.1557,212.148,1983.1171,1.0651,9.464
30-Jan-26,1.372,1.1534,211.5898,1982.7115,1.0566,9.5373
29-Jan-26,1.3764,1.1537,210.3269,1977.402,1.0571,9.5693
28-Jan-26,1.379,1.1546,211.6282,1977.8101,1.0609,9.577
27-Jan-26,1.3751,1.1507,210.728,1978.6346,1.056,9.5558
26-Jan-26,1.3708,1.1523,210.8488,1975.1822,1.061,9.5254
23-Jan-26,1.3564,1.1536,214.4672,1987.8991,1.0704,9.4435
22-Jan-26,1.3478,1.1486,213.4848,1976.6161,1.0658,9.3923
21-Jan-26,1.3428,1.1475,212.4499,1966.5514,1.0662,9.3443
20-Jan-26,1.3457,1.1475,212.5197,1987.0202,1.0634,9.3593
19-Jan-26,1.3422,1.1531,212.1548,1977.215,1.0698,9.3372
16-Jan-26,1.3378,1.1539,211.4594,1972.9272,1.0742,9.321
15-Jan-26,1.3387,1.1538,212.2296,1966.7981,1.0755,9.3201
14-Jan-26,1.3457,1.1541,212.7809,1972.8911,1.0748,9.3781
13-Jan-26,1.3442,1.1536,213.627,1984.9129,1.0752,9.3715
12-Jan-26,1.3475,1.1535,212.8646,1977.2002,1.0729,9.3834
09-Jan-26,1.3419,1.1527,211.8446,1959.148,1.0749,9.3581
08-Jan-26,1.3442,1.1521,210.8568,1952.7811,1.0735,9.3861
07-Jan-26,1.3481,1.1532,211.2192,1952.8122,1.0737,9.4213
06-Jan-26,1.3507,1.1549,211.4859,1955.5029,1.0736,9.4295
05-Jan-26,1.3503,1.1537,211.4232,1952.7498,1.0717,9.4399
02-Jan-26,1.3497,1.1486,211.3484,1949.5087,1.0668,9.4038
31-Dec-25,1.3451,1.1454,210.8377,1941.0667,1.0657,9.3889
30-Dec-25,1.3473,1.1457,210.6167,1941.3313,1.0654,9.4219
29-Dec-25,1.35,1.1472,210.5055,1937.088,1.0656,9.4431
24-Dec-25,1.3507,1.1468,210.4671,1954.488,1.0655,9.4675
23-Dec-25,1.3484,1.1451,210.8752,1999.7514,1.065,9.4628
22-Dec-25,1.3454,1.1437,211.1942,1991.8781,1.0659,9.4611
19-Dec-25,1.3362,1.1411,210.4102,1975.1905,1.0634,9.3993
18-Dec-25,1.3395,1.1422,208.3257,1975.8295,1.0634,9.4206
17-Dec-25,1.34,1.1401,208.2349,1976.4531,1.0647,9.4296
16-Dec-25,1.3417,1.1399,207.6539,1976.2505,1.0669,9.4351
15-Dec-25,1.3394,1.1387,207.8224,1965.884,1.0651,9.4297
12-Dec-25,1.3355,1.1377,208.1844,1974.7104,1.0627,9.4208
11-Dec-25,1.3435,1.1428,208.4776,1973.0641,1.066,9.473
10-Dec-25,1.3321,1.1442,208.447,1959.0395,1.0692,9.4159
09-Dec-25,1.3297,1.1434,208.5834,1955.3903,1.0731,9.3897
08-Dec-25,1.3312,1.1452,207.4742,1955.7658,1.0754,9.4133
05-Dec-25,1.3343,1.1454,207.149,1963.7091,1.0729,9.4297
04-Dec-25,1.3373,1.1456,206.7934,1969.4952,1.0711,9.454
03-Dec-25,1.3331,1.1434,206.9238,1952.8449,1.0672,9.4054
02-Dec-25,1.3201,1.1374,205.7706,1938.3688,1.062,9.3323
01-Dec-25,1.3252,1.1396,205.5385,1943.5648,1.0633,9.3694
28-Nov-25,1.3252,1.1417,206.7698,1943.2795,1.0638,9.3676
27-Nov-25,1.3252,1.143,207.1276,1937.7867,1.0671,9.3741
26-Nov-25,1.3226,1.1412,206.8745,1943.5871,1.0656,9.3503
